Region ,Market,Maize (Min Price),Maize (Max Price),Date
Mwanza,Mwanza,"45,000","55,000","09th June, 2021"
Mara,Musoma,"50,000","55,000","09th June, 2021"
Ruvuma,Songea,"40,000","50,000","09th June, 2021"
Shinyanga,Shinyanga,"42,000","48,000","09th June, 2021"
Iringa,Iringa,"35,000","40,000","09th June, 2021"
Morogoro,Morogoro,"42,968","49,625","09th June, 2021"
Tanga,Tanga,"43,518","43,518","09th June, 2021"
Arusha,Arusha (Urban),"43,000","45,000","11th June, 2021"
D'Salaam,Temeke (Tandika),"46,000","47,000","11th June, 2021"
D'Salaam,Kinondoni (Tandale),"42,000","43,000","11th June, 2021"
D'Salaam,Ilala (Buguruni),"44,000","50,000","11th June, 2021"
Dodoma,Majengo,"45,000","55,000","11th June, 2021"
Kagera,Bukoba,"45,000","50,000","11th June, 2021"
Manyara,Babati,"36,000","45,000","11th June, 2021"
Rukwa,Sumbawanga,"27,000","36,000","11th June, 2021"
Mpanda,Mpanda,"30,000","30,000","11th June, 2021"
Mtwara,Mtwara,"40,000","40,000","11th June, 2021"
Tabora,Tabora,"34,000","36,000","11th June, 2021"
Mwanza,Mwanza,"45,000","55,000","11th June, 2021"
Mara,Musoma,"50,000","55,000","11th June, 2021"
Kigoma,Kigoma,"34,000","36,000","11th June, 2021"
Ruvuma,Songea,"40,000","50,000","11th June, 2021"
Shinyanga,Shinyanga,"42,000","48,000","11th June, 2021"
Iringa,Iringa,"35,000","40,000","11th June, 2021"
Morogoro,Morogoro,"42,968","49,625","11th June, 2021"
Tanga,Tanga,"43,518","43,518","11th June, 2021"
Arusha,Arusha (Urban),"43,000","45,000","16th June, 2021"
D'Salaam,Temeke (Tandika),"46,000","47,000","16th June, 2021"
D'Salaam,Kinondoni (Tandale),"42,000","43,000","16th June, 2021"
D'Salaam,Ilala (Buguruni),"44,000","50,000","16th June, 2021"
Dodoma,Majengo,"49,000","58,000","16th June, 2021"
Kagera,Bukoba,"45,000","48,000","16th June, 2021"
Manyara,Babati,"36,000","45,000","16th June, 2021"
Rukwa,Sumbawanga,"27,000","36,000","16th June, 2021"
Mpanda,Mpanda,"30,000","30,000","16th June, 2021"
Mtwara,Mtwara,"40,000","40,000","16th June, 2021"
Tabora,Tabora,"34,000","36,000","16th June, 2021"
Mwanza,Mwanza,"45,000","55,000","16th June, 2021"
Mara,Musoma,"50,000","55,000","16th June, 2021"
Kigoma,Kigoma,"34,000","36,000","16th June, 2021"
Ruvuma,Songea,"25,000","45,000","16th June, 2021"
Shinyanga,Shinyanga,"40,000","45,000","16th June, 2021"
Iringa,Iringa,"35,000","40,000","16th June, 2021"
Morogoro,Morogoro,"42,968","49,625","16th June, 2021"
Tanga,Tanga,"43,518","43,518","16th June, 2021"
Arusha,Arusha (Urban),"45,000","47,000","18th June, 2021"
D'Salaam,Temeke (Tandika),"46,000","47,000","18th June, 2021"
D'Salaam,Kinondoni (Tandale),"42,000","43,000","18th June, 2021"
D'Salaam,Ilala (Buguruni),"44,000","50,000","18th June, 2021"
Dodoma,Majengo,"49,000","58,000","18th June, 2021"
Kagera,Bukoba,"45,000","48,000","18th June, 2021"
Manyara,Babati,"36,000","45,000","18th June, 2021"
Rukwa,Sumbawanga,"30,000","33,000","18th June, 2021"
Mpanda,Mpanda,"30,000","30,000","18th June, 2021"
Mtwara,Mtwara,"40,000","40,000","18th June, 2021"
Tabora,Tabora,34 000,"36,000","18th June, 2021"
Mwanza,Mwanza,"45,000","55,000","18th June, 2021"
Mara,Musoma,"50,000","55,000","18th June, 2021"
Kigoma,Kigoma,"36,000","38,000","18th June, 2021"
Ruvuma,Songea,"29,000","45,000","18th June, 2021"
Shinyanga,Shinyanga,"40,000","45,000","18th June, 2021"
Iringa,Iringa,"35,000","40,000","18th June, 2021"
Morogoro,Morogoro,"42,968","49,625","18th June, 2021"
Tanga,Tanga,"48,148","49,000","18th June, 2021"
Arusha,Arusha (Urban),"46,000","47,000","21st June , 2021"
D'Salaam,Temeke (Tandika),"46,000","47,000","21st June , 2021"
D'Salaam,Kinondoni (Tandale),"42,000","43,000","21st June , 2021"
D'Salaam,Ilala (Buguruni),"44,000","50,000","21st June , 2021"
Dodoma,Majengo,"45,000","58,000","21st June , 2021"
Kagera,Bukoba,"45,000","48,000","21st June , 2021"
Manyara,Babati,"36,000","45,000","21st June , 2021"
Rukwa,Sumbawanga,"30,000","33,000","21st June , 2021"
Mpanda,Mpanda,"30,000","30,000","21st June , 2021"
Mtwara,Mtwara,"40,000","40,000","21st June , 2021"
Tabora,Tabora,34 000,"36,000","21st June , 2021"
Mwanza,Mwanza,"45,000","55,000","21st June , 2021"
Mara,Musoma,"50,000","55,000","21st June , 2021"
Kigoma,Kigoma,"36,000","38,000","21st June , 2021"
Ruvuma,Songea,"29,000","45,000","21st June , 2021"
Shinyanga,Shinyanga,"42,000","48,000","21st June , 2021"
Iringa,Iringa,"35,000","38,000","21st June , 2021"
Morogoro,Morogoro,"42,968","49,625","21st June , 2021"
Tanga,Tanga,"48,148","49,000","21st June , 2021"
Arusha,Arusha (Urban),"48,000","50,000","28th June, 2021"
D'Salaam,Temeke (Tandika),"46,000","47,000","28th June, 2021"
D'Salaam,Kinondoni (Tandale),"42,000","43,000","28th June, 2021"
D'Salaam,Ilala (Buguruni),"44,000","50,000","28th June, 2021"
Dodoma,Majengo,"44,000","57,000","28th June, 2021"
Kagera,Bukoba,"47,000","50,000","28th June, 2021"
Manyara,Babati,"36,000","45,000","28th June, 2021"
Rukwa,Sumbawanga,"30,000","33,000","28th June, 2021"
Mpanda,Mpanda,"30,000","30,000","28th June, 2021"
Mtwara,Mtwara,"40,000","40,000","28th June, 2021"
Tabora,Tabora,"34,000","36,000","28th June, 2021"
Mwanza,Mwanza,"48,000","65,000","28th June, 2021"
Mara,Musoma,"50,000","55,000","28th June, 2021"
Kigoma,Kigoma,"39,000","40,000","28th June, 2021"
Ruvuma,Songea,"28,000","45,000","28th June, 2021"
Shinyanga,Shinyanga,"42,000","48,000","28th June, 2021"
Iringa,Iringa,"35,000","38,000","28th June, 2021"
Morogoro,Morogoro,"42,968","43,750","28th June, 2021"
Tanga,Tanga,"48,148","49,000","28th June, 2021"
Arusha,Arusha (Urban),"48,000","50,000","02nd July, 2021"
D'Salaam,Temeke (Tandika),"46,000","47,000","02nd July, 2021"
D'Salaam,Kinondoni (Tandale),"42,000","43,000","02nd July, 2021"
D'Salaam,Ilala (Buguruni),"44,000","50,000","02nd July, 2021"
Dodoma,Majengo,"45,000","50,000","02nd July, 2021"
Kagera,Bukoba,"48,000","50,000","02nd July, 2021"
Manyara,Babati,"36,000","45,000","02nd July, 2021"
Rukwa,Sumbawanga,"30,000","33,000","02nd July, 2021"
Mpanda,Mpanda,"30,000","30,000","02nd July, 2021"
Mtwara,Mtwara,"40,000","40,000","02nd July, 2021"
Tabora,Tabora,"34,000","36,000","02nd July, 2021"
Mwanza,Mwanza,"48,000","65,000","02nd July, 2021"
Mara,Musoma,"50,000","55,000","02nd July, 2021"
Kigoma,Kigoma,"38,000","39,000","02nd July, 2021"
Ruvuma,Songea,"30,000","45,000","02nd July, 2021"
Shinyanga,Shinyanga,"42,000","46,000","02nd July, 2021"
Iringa,Iringa,"35,000","38,000","02nd July, 2021"
Morogoro,Morogoro,"42,968","45,312","02nd July, 2021"
Tanga,Tanga,"48,148","50,000","02nd July, 2021"
Arusha,Arusha (Urban),"46,000","48,000","05th July, 2021"
Dodoma,Majengo,"44,000","52,000","05th July, 2021"
Dodoma,Kibaigwa,"36,000","38,000","05th July, 2021"
Kagera,Bukoba,"48,000","50,000","05th July, 2021"
Manyara,Babati,"42,000","48,000","05th July, 2021"
Rukwa,Sumbawanga,"30,000","33,000","05th July, 2021"
Mtwara,Mtwara,"40,000","40,000","05th July, 2021"
Kilimanjaro,Moshi,"60,000","60,000","05th July, 2021"
Mbeya,SIDO,"38,000","38,000","05th July, 2021"
Tabora,Tabora,"34,000","36,000","05th July, 2021"
Mara,Musoma,"55,000","60,000","05th July, 2021"
Ruvuma,Songea,"30,000","45,000","05th July, 2021"
Iringa,Iringa,"35,000","38,000","05th July, 2021"
Tanga,Tanga,"46,296","47,222","05th July, 2021"
Arusha,Arusha (Urban),"46,000","48,000","09th July, 2021"
D'Salaam,Kinondoni (Tandale),"45,000","45,000","09th July, 2021"
D'Salaam,Ilala (Buguruni),"46,000","47,000","09th July, 2021"
Dodoma,Majengo,"44,000","52,000","09th July, 2021"
Dodoma,Kibaigwa,"37,000","38,000","09th July, 2021"
Katavi,Mpanda,"30,000","36,000","09th July, 2021"
Kagera,Bukoba,"48,000","50,000","09th July, 2021"
Kigoma,Kigoma,"38,000","44,000","09th July, 2021"
Manyara,Babati,"42,000","48,000","09th July, 2021"
Rukwa,Sumbawanga,"28,000","30,000","09th July, 2021"
Mtwara,Mtwara,"40,000","40,000","09th July, 2021"
Mwanza,Mwanza,"50,000","65,000","09th July, 2021"
Kilimanjaro,Moshi,"60,000","60,000","09th July, 2021"
Mbeya,SIDO,"38,000","38,000","09th July, 2021"
Tabora,Tabora,"34,000","36,000","09th July, 2021"
Mara,Musoma,"55,000","60,000","09th July, 2021"
Ruvuma,Songea,"30,000","45,000","09th July, 2021"
Iringa,Iringa,"35,000","38,000","09th July, 2021"
Tanga,Tanga,"46,296","47,222","09th July, 2021"
Arusha,Arusha (Urban),"47,000","49,000","12th July, 2021"
D'Salaam,Kinondoni (Tandale),"45,000","70,000","12th July, 2021"
Dodoma,Majengo,"45,000","52,000","12th July, 2021"
Dodoma,Kibaigwa,"36,000","37,000","12th July, 2021"
Kagera,Bukoba,"48,000","52,000","12th July, 2021"
Kigoma,Kigoma,"38,000","44,000","12th July, 2021"
Njombe,Njombe,"35,000","42,500","12th July, 2021"
Manyara,Babati,"42,000","48,000","12th July, 2021"
Morogoro,Morogoro,"42,968","43,750","12th July, 2021"
Mtwara,Mtwara,"40,000","40,000","12th July, 2021"
Mbeya,SIDO,"36,000","36,000","12th July, 2021"
Tabora,Tabora,"34,000","36,000","12th July, 2021"
Mara,Musoma,"55,000","60,000","12th July, 2021"
Ruvuma,Songea,"28,000","45,000","12th July, 2021"
Arusha,Arusha (Urban),"47,000","49,000","14th July, 2021"
D'Salaam,Kinondoni (Tandale),"45,000","70,000","14th July, 2021"
Dodoma,Majengo,"45,000","52,000","14th July, 2021"
Dodoma,Kibaigwa,"36,000","37,000","14th July, 2021"
Iringa,Iringa,"35,000","35,000","14th July, 2021"
Kagera,Bukoba,"48,000","52,000","14th July, 2021"
Kigoma,Kigoma,"38,000","44,000","14th July, 2021"
Njombe,Njombe,"35,000","42,500","14th July, 2021"
Manyara,Babati,"42,000","48,000","14th July, 2021"
Mara,Musoma,"55,000","60,000","14th July, 2021"
Morogoro,Morogoro,"42,968","43,750","14th July, 2021"
Mtwara,Mtwara,"40,000","40,000","14th July, 2021"
Mbeya,SIDO,"36,000","36,000","14th July, 2021"
Tabora,Tabora,"34,000","36,000","14th July, 2021"
Tanga,Tanga,"44,444","48,148","14th July, 2021"
Ruvuma,Songea,"28,000","45,000","14th July, 2021"
Sumbawanga,Rukwa,"24,000","27,000","14th July, 2021"
Arusha,Arusha (Urban),"48,000","50,000","16th July, 2021"
D'Salaam,Kinondoni (Tandale),"45,000","70,000","16th July, 2021"
Dodoma,Majengo,"45,000","52,000","16th July, 2021"
Dodoma,Kibaigwa,"36,000","37,000","16th July, 2021"
Iringa,Iringa,"35,000","35,000","16th July, 2021"
Kagera,Bukoba,"50,000","52,000","16th July, 2021"
Kigoma,Kigoma,"38,000","44,000","16th July, 2021"
Njombe,Njombe,"30,000","35,000","16th July, 2021"
Manyara,Babati,"42,000","48,000","16th July, 2021"
Mara,Musoma,"55,000","60,000","16th July, 2021"
Morogoro,Morogoro,"42,187","43,750","16th July, 2021"
Mtwara,Mtwara,"40,000","40,000","16th July, 2021"
Tabora,Tabora,"34,000","36,000","16th July, 2021"
Tanga,Tanga,"44,444","48,148","16th July, 2021"
Ruvuma,Songea,"28,000","45,000","16th July, 2021"
Shinyanga,Shinyanga,"40,000","42,000","16th July, 2021"
Sumbawanga,Rukwa,"20,000","24,000","16th July, 2021"
Arusha,Arusha (Urban),"47,000","49,000","19th July, 2021"
D'Salaam,Kinondoni (Tandale),"52,000","70,000","19th July, 2021"
D'Salaam,Temeke(Tandika),"47,000","48,000","19th July, 2021"
Dodoma,Majengo,"45,000","50,000","19th July, 2021"
Dodoma,Kibaigwa,"35,000","36,000","19th July, 2021"
Iringa,Iringa,"35,000","35,000","19th July, 2021"
Kagera,Bukoba,"50,000","52,000","19th July, 2021"
Kigoma,Kigoma,"38,000","44,000","19th July, 2021"
Njombe,Njombe,"30,000","35,000","19th July, 2021"
Manyara,Babati,"42,000","48,000","19th July, 2021"
Moshi,Moshi,"60,000","60,000","19th July, 2021"
Mara,Musoma,"60,000","65,000","19th July, 2021"
Morogoro,Morogoro,"42,187","43,750","19th July, 2021"
Mtwara,Mtwara,"40,000","40,000","19th July, 2021"
Tabora,Tabora,"34,000","36,000","19th July, 2021"
Tanga,Tanga,"44,444","48,148","19th July, 2021"
Ruvuma,Songea,"28,000","45,000","19th July, 2021"
Sumbawanga,Rukwa,"30,000","32,000","19th July, 2021"
Arusha,Arusha (Urban),"43,000","45,000","14th June, 2021"
D'Salaam,Temeke (Tandika),"46,000","47,000","14th June, 2021"
D'Salaam,Kinondoni (Tandale),"42,000","43,000","14th June, 2021"
D'Salaam,Ilala (Buguruni),"44,000","50,000","14th June, 2021"
Dodoma,Majengo,"49,000","58,000","14th June, 2021"
Kagera,Bukoba,"45,000","50,000","14th June, 2021"
Manyara,Babati,"36,000","45,000","14th June, 2021"
Rukwa,Sumbawanga,"27,000","36,000","14th June, 2021"
Mpanda,Mpanda,"30,000","30,000","14th June, 2021"
Mtwara,Mtwara,"40,000","40,000","14th June, 2021"
Tabora,Tabora,"34,000","36,000","14th June, 2021"
Mwanza,Mwanza,"45,000","55,000","14th June, 2021"
Mara,Musoma,"50,000","55,000","14th June, 2021"
Kigoma,Kigoma,"34,000","36,000","14th June, 2021"
Ruvuma,Songea,"40,000","50,000","14th June, 2021"
Shinyanga,Shinyanga,"42,000","48,000","14th June, 2021"
Iringa,Iringa,"35,000","40,000","14th June, 2021"
Morogoro,Morogoro,"42,968","49,625","14th June, 2021"
Tanga,Tanga,"43,518","43,518","14th June, 2021"
Arusha,Arusha (Urban),"48,000","50,000","23rd July, 2021"
Dar -es-Salaam,Kinondoni (Tandale),"65,000","70,000","23rd July, 2021"
Dar -es-Salaam,Ilala(Buguruni),"46,000","47,000","23rd July, 2021"
Dar -es-Salaam,Temeke(Tandika),"47,000","48,000","23rd July, 2021"
Dodoma,Majengo,"47,000","50,000","23rd July, 2021"
Dodoma,Kibaigwa,"37,000","38,000","23rd July, 2021"
Iringa,Iringa,"35,000","35,000","23rd July, 2021"
Kagera,Bukoba,"50,000","52,000","23rd July, 2021"
Kigoma,Kigoma,"42,000","44,000","23rd July, 2021"
Manyara,Babati,"42,000","48,000","23rd July, 2021"
Mara,Musoma,"60,000","65,000","23rd July, 2021"
Morogoro,Morogoro,"39,062","41,600","23rd July, 2021"
Mtwara,Mtwara,"40,000","40,000","23rd July, 2021"
Njombe,Njombe,"30,000","35,000","23rd July, 2021"
Rukwa,Sumbawanga,"28,000","30,000","23rd July, 2021"
Ruvuma,Songea,"27,000","45,000","23rd July, 2021"
Shinyanga,Shinyanga,"40,000","42,000","23rd July, 2021"
Tabora,Tabora,"34,000","36,000","23rd July, 2021"
Tanga,Tanga,"44,444","48,148","23rd July, 2021"
Arusha,Arusha (Urban),"45,000","48,000","26th July, 2021"
D'Salaam,Kinondoni (Tandale),"65,000","70,000","26th July, 2021"
D'Salaam,Ilala(Buguruni),"46,000","47,000","26th July, 2021"
D'Salaam,Temeke(Tandika),"47,000","48,000","26th July, 2021"
Dodoma,Majengo,"45,000","52,000","26th July, 2021"
Dodoma,Kibaigwa,"35,000","37,000","26th July, 2021"
Kagera,Bukoba,"50,000","54,000","26th July, 2021"
Kigoma,Kigoma,"42,000","44,000","26th July, 2021"
Katavi,Mpanda,"25,000","30,000","26th July, 2021"
Manyara,Babati,"42,000","48,000","26th July, 2021"
Mara,Musoma,"60,000","65,000","26th July, 2021"
Mwanza,Mwanza,"52,000","65,000","26th July, 2021"
Morogoro,Morogoro,"39,062","41,600","26th July, 2021"
Moshi,Moshi,"60,000","60,000","26th July, 2021"
Mtwara,Mtwara,"40,000","40,000","26th July, 2021"
Tabora,Tabora,"34,000","36,000","26th July, 2021"
Tanga,Tanga,"44,444","47,222","26th July, 2021"
Ruvuma,Songea,"28,000","45,000","26th July, 2021"
Shinyanga,Shinyanga,"40,000","42,000","26th July, 2021"
Sumbawanga,Rukwa,"28,000","30,000","26th July, 2021"
Arusha,Arusha (Urban),"45,000","48,000","28th July, 2021"
D'Salaam,Kinondoni (Tandale),"65,000","70,000","28th July, 2021"
D'Salaam,Temeke(Tandika),"47,000","48,000","28th July, 2021"
Dodoma,Majengo,"45,000","52,000","28th July, 2021"
Dodoma,Kibaigwa,"38,000","45,000","28th July, 2021"
Kagera,Bukoba,"50,000","54,000","28th July, 2021"
Kigoma,Kigoma,"42,000","44,000","28th July, 2021"
Manyara,Babati,"42,000","48,000","28th July, 2021"
Mara,Musoma,"60,000","65,000","28th July, 2021"
Mwanza,Mwanza,"52,000","65,000","28th July, 2021"
Morogoro,Morogoro,"39,062","41,600","28th July, 2021"
Moshi,Moshi,"60,000","60,000","28th July, 2021"
Mtwara,Mtwara,"40,000","40,000","28th July, 2021"
Tabora,Tabora,"34,000","36,000","28th July, 2021"
Tanga,Tanga,"44,444","47,222","28th July, 2021"
Ruvuma,Songea,"26,000","45,000","28th July, 2021"
Shinyanga,Shinyanga,"40,000","42,000","28th July, 2021"
Sumbawanga,Rukwa,"28,000","30,000","28th July, 2021"
Arusha,Arusha (Urban),"47,000","49,000","30th July, 2021"
D'Salaam,Kinondoni (Tandale),"65,000","70,000","30th July, 2021"
D'Salaam,Temeke(Tandika),"48,000","49,000","30th July, 2021"
Dodoma,Majengo,"45,000","52,000","30th July, 2021"
Dodoma,Kibaigwa,"38,000","45,000","30th July, 2021"
Iringa,Iringa,"32,000","35,000","30th July, 2021"
Kagera,Bukoba,"48,000","50,000","30th July, 2021"
Kigoma,Kigoma,"42,000","44,000","30th July, 2021"
Manyara,Babati,"42,000","48,000","30th July, 2021"
Mwanza,Mwanza,"52,000","65,000","30th July, 2021"
Morogoro,Morogoro,"39,062","41,600","30th July, 2021"
Moshi,Moshi,"58,000","60,000","30th July, 2021"
Mtwara,Mtwara,"40,000","40,000","30th July, 2021"
Tabora,Tabora,"34,000","36,000","30th July, 2021"
Tanga,Tanga,"44,444","47,222","30th July, 2021"
Ruvuma,Songea,"27,000","40,000","30th July, 2021"
Shinyanga,Shinyanga,"40,000","42,000","30th July, 2021"
Sumbawanga,Rukwa,"30,000","33,000","30th July, 2021"
Arusha,Arusha (Urban),"46,000","47,000","02nd August, 2021"
D'Salaam,Kinondoni (Tandale),"65,000","70,000","02nd August, 2021"
D'Salaam,Ilala (Buguruni),"44,000","45,000","02nd August, 2021"
Dodoma,Majengo,"44,000","50,000","02nd August, 2021"
Dodoma,Kibaigwa,"38,000","39,000","02nd August, 2021"
Kagera,Bukoba,"48,000","50,000","02nd August, 2021"
Kigoma,Kigoma,"42,000","44,000","02nd August, 2021"
Manyara,Babati,"42,000","48,000","02nd August, 2021"
Mara,Musoma,"60,000","65,000","02nd August, 2021"
Morogoro,Morogoro,"39,062","39,843","02nd August, 2021"
Mtwara,Mtwara,"40,000","40,000","02nd August, 2021"
Tabora,Tabora,"34,000","36,000","02nd August, 2021"
Tanga,Tanga,"41,666","46,296","02nd August, 2021"
Ruvuma,Songea,"27,000","30,000","02nd August, 2021"
Shinyanga,Shinyanga,"40,000","42,000","02nd August, 2021"
Sumbawanga,Rukwa,"30,000","33,000","02nd August, 2021"
Arusha,Arusha (Urban),"46,000","48,000","06th August, 2021"
D'Salaam,Kinondoni (Tandale),"65,000","70,000","06th August, 2021"
D'Salaam,Ilala (Buguruni),"44,000","45,000","06th August, 2021"
